host_total_listings_count;neighbourhood;neighbourhood_cleansed;neighbourhood_group_cleansed;city;state;zipcode;market;smart_location;country_code;country;latitude;longitude;property_type;accommodates;bathrooms;bedrooms;beds;price;weekly_price;monthly_price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;availability_30;availability_60;availability_90;availability_365;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;cancellation_policy;reviews_per_month;high_value_amenities;standard_value_amenities;basic_amenities;summary_length;description_length;days_since_first_review;days_since_last_review;room_type_private_room;room_type_shared_room;bed_type_couch;bed_type_futon;bed_type_pullout_sofa;bed_type_real_bed;square_meters
2.0;jernimos;jernimos;retiro;madrid;comunidad de madrid;28014;madrid;madrid spain;es;spain;40.40773187928116;-3.6848186973255808;apartment;4;1.0;1.0;2.0;4.110873864173311;550.0;1250.0;;25.0;1;0;2;1125;9;32;52;117;12;95.0;9.0;10.0;10.0;10.0;10.0;9.0;moderate;0.5;2;2;3;34;168;3465.0;2791.0;False;False;False;False;False;True;49.981814
1.0;;sol;centro;madrid;comunidad de madrid;28012;madrid;madrid spain;es;spain;40.41580224221418;-3.705340377650709;apartment;4;1.0;1.0;2.0;3.9318256327243257;;;;15.0;1;0;1;1125;15;39;64;208;20;91.0;9.0;9.0;10.0;10.0;10.0;10.0;flexible;2.43;1;3;2;80;167;2998.0;2771.0;False;False;False;False;False;True;49.981814
16.0;carabanchel;vista alegre;carabanchel;madrid;comunidad de madrid;28025;madrid;madrid spain;es;spain;40.3890481625822;-3.740373925565714;apartment;1;1.5;1.0;8.0;2.3978952727983707;;;;5.0;1;0;3;30;14;44;74;140;0;;;;;;;;moderate;;5;3;3;39;93;;;False;True;False;False;False;True;15.79351
114.0;;embajadores;centro;madrid;comunidad de madrid;28012;madrid;madrid spain;es;spain;40.412814092917046;-3.703052476384028;apartment;2;3.0;1.0;1.0;3.4339872044851463;;;;;1;0;10;1125;0;6;36;311;0;;;;;;;;strict;;0;1;2;44;44;;;True;False;False;False;False;True;24.990907
2.0;gaztambide;gaztambide;chamber;madrid;28;28015;madrid;madrid spain;es;spain;40.43863119836153;-3.713716132786873;apartment;2;1.0;1.0;1.0;3.49650756146648;;;;;1;10;1;1125;7;34;62;337;97;92.0;9.0;9.0;9.0;10.0;9.0;9.0;strict;2.08;2;2;4;0;178;4153.0;2791.0;True;False;False;False;False;True;24.990907
1.0;embajadores;embajadores;centro;madrid;comunidad de madrid;28012;madrid;madrid spain;es;spain;40.41187988660166;-3.702480653530989;apartment;1;1.0;1.0;1.0;3.58351893845611;;;;;1;0;2;60;21;51;81;356;43;97.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;1.4;1;1;3;45;176;3674.0;2884.0;True;False;False;False;False;True;15.79351
1.0;;palacio;centro;madrid;comunidad de madrid;28005;madrid;madrid spain;es;spain;40.41508709483592;-3.71099435105229;apartment;4;1.0;1.0;2.0;4.394449154672439;;;300.0;18.0;2;21;1;3;15;45;75;75;24;98.0;10.0;10.0;10.0;10.0;10.0;10.0;flexible;1.61;1;3;4;37;37;3198.0;2808.0;False;False;False;False;False;True;49.981814
114.0;sol;sol;centro;madrid;comunidad de madrid;28013;madrid;madrid spain;es;spain;40.41826553823127;-3.705616883018374;apartment;2;3.0;1.0;1.0;3.258096538021482;;;;14.0;1;5;10;1125;0;0;18;74;0;;;;;;;;strict;;1;1;3;52;175;;;True;False;False;False;False;True;24.990907
68.0;;calvi;;illetes;illes balears;07181;mallorca island;illetes spain;es;spain;39.53987109473469;2.592716238882455;apartment;4;1.0;1.0;2.0;4.248495242049359;;;150.0;45.0;3;10;4;36;21;51;81;339;1;100.0;10.0;10.0;10.0;10.0;10.0;10.0;strict;0.61;4;3;3;65;164;2824.0;2824.0;False;False;False;False;False;True;49.981814
28.0;goya;goya;salamanca;madrid;comunidad de madrid;28006;madrid;madrid spain;es;spain;40.42641029723731;-3.673277812578589;apartment;4;2.0;2.0;3.0;5.068904202220232;;3500.0;;160.0;2;20;7;180;16;26;52;52;3;100.0;10.0;9.0;9.0;10.0;10.0;9.0;strict;0.12;3;3;3;27;166;3483.0;2781.0;False;False;False;False;False;True;65.0321
