accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,availability_365,square_meters,review_activity_duration,amenity_score,summary_content_score,description_content_score,property_type_weighted,room_type_encoded,bed_type_encoded,cancellation_policy_numeric,city_encoded,zipcode_encoded,price_log,review_overall_score,price_per_guest,total_beds
4,1.0,1,2,150.0,25.0,1,117,47.7056905,674.0,23,12,17,0.3333333333333333,1.0,0.8520040280841519,2,67.8210655120482,83.67920792079208,0.5174330598753676,18.38888888888889,0.8188689124444201,2
4,1.0,1,2,150.0,15.0,1,208,47.7056905,227.0,33,10,16,0.3333333333333333,1.0,0.8520040280841519,1,67.8210655120482,67.57546602525557,0.4677054718657925,19.047777777777775,0.7824046010856291,2
1,1.5,1,8,150.0,5.0,1,140,19.974145,359.0,51,5,13,0.3333333333333333,0.0,0.8520040280841519,2,67.8210655120482,38.07368421052632,0.02873672431960328,17.134444444444444,1.151292546497023,8
2,3.0,1,1,150.0,20.0,1,311,24.990907,359.0,9,3,3,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,67.8210655120482,67.57546602525557,0.3283795105803867,17.134444444444444,1.1337324605540517,1
2,1.0,1,1,150.0,20.0,1,337,24.990907,1362.0,26,9,9,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,67.8210655120482,61.73068893528184,0.34598217395333797,27.342222222222222,1.1552453009332422,1
1,1.0,1,1,150.0,20.0,1,356,19.974145,790.0,27,7,15,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,67.8210655120482,67.57546602525557,0.37042358717034685,22.37777777777778,1.7776740307447065,1
4,1.0,1,2,300.0,18.0,2,75,47.7056905,390.0,31,8,8,0.3333333333333333,1.0,0.8520040280841519,1,67.8210655120482,67.76751269035533,0.5958973722045462,20.401111111111117,0.8764053269347762,2
2,3.0,1,1,150.0,14.0,1,74,24.990907,359.0,19,8,14,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,67.8210655120482,81.97660098522168,0.2786519225708116,17.134444444444444,1.0729586082894003,1
4,1.0,1,2,150.0,45.0,3,339,47.7056905,0.0,39,8,17,0.3333333333333333,1.0,0.8520040280841519,3,54.5,150.9,0.5555526569875417,17.956666666666667,0.846821300919452,2
4,2.0,2,3,180.0,160.0,2,52,65.0321,702.0,44,8,12,0.3333333333333333,1.0,0.8520040280841519,3,67.8210655120482,84.47826086956522,0.7815201011936661,17.79111111111111,1.0125190066053933,6
2,1.0,1,1,150.0,20.0,1,65,24.990907,236.0,18,13,13,0.3333333333333333,0.15037580105041076,0.8520040280841519,2,67.8210655120482,67.57546602525557,0.3191329770148643,20.952222222222225,1.1224319433288248,1
2,2.0,1,2,100.0,20.0,1,281,24.990907,359.0,28,5,15,0.3333333333333333,1.0,0.8520040280841519,1,67.8210655120482,52.051886792452834,0.6124325327743465,17.134444444444444,1.4808837521634388,2
2,1.0,1,1,300.0,20.0,1,355,24.990907,195.0,21,6,10,0.3333333333333333,1.0,0.8520040280841519,3,67.8210655120482,78.44134078212291,0.4784027887350877,18.183333333333334,1.3170812395271427,1
4,1.0,1,1,150.0,20.0,1,329,47.7056905,348.0,15,5,5,0.3333333333333333,1.0,0.4090312389650088,2,67.8210655120482,67.57546602525557,0.49370100107128456,18.466666666666665,0.8014666370464942,1
2,2.0,1,1,150.0,10.0,1,86,24.990907,1573.0,33,4,17,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,67.8210655120482,63.77536231884058,0.39993847640590896,27.052222222222223,1.2211872153765488,1
4,1.0,1,2,130.0,25.0,2,242,47.7056905,472.0,32,5,14,0.3333333333333333,1.0,0.8520040280841519,2,67.8210655120482,67.57546602525557,0.5392644376913147,20.364444444444445,0.8348774539791274,2
3,1.0,1,3,150.0,20.0,1,0,44.965052,359.0,14,7,7,0.3333333333333333,0.15037580105041076,0.8520040280841519,1,67.8210655120482,78.44134078212291,0.4677054718657925,17.134444444444444,0.9780057513570365,3
4,1.0,0,3,500.0,49.0,2,189,39.01926,322.0,24,8,8,0.3333333333333333,1.0,0.8520040280841519,3,67.8210655120482,67.57546602525557,0.4677054718657925,16.514444444444443,0.7824046010856291,0
