host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,security_deposit,cleaning_fee,guests_included,availability_365,square_meters,review_activity_duration,amenity_score,summary_content_score,description_content_score,property_type_weighted,room_type_encoded,bed_type_encoded,cancellation_policy_numeric,neighbourhood_group_cleansed_encoded,neighbourhood_cleansed_encoded,neighbourhood_encoded,city_encoded,state_encoded,zipcode_encoded,market_encoded,country_encoded,price_log,review_overall_score
2.0,40.40773187928116,-3.6848186973255808,4,1.0,1,2,150.0,25.0,1,117,47.7056905,674.0,23,12,17,0.3333333333333333,1.0,0.8520040280841519,2,34,104.6,104.12121212121212,67.8210655120482,68.19055374592834,83.67920792079208,67.7640712945591,71.77488172810854,4.0943445622221,18.38888888888889
1.0,40.41580224221418,-3.705340377650709,4,1.0,1,2,150.0,15.0,1,208,47.7056905,227.0,33,10,16,0.3333333333333333,1.0,0.8520040280841519,1,8,85.71021992238033,84.62020460358056,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,3.912023005428146,19.047777777777775
16.0,40.3890481625822,-3.740373925565714,1,1.5,1,8,150.0,5.0,1,140,19.974145,359.0,51,5,13,0.3333333333333333,0.0,0.8520040280841519,2,7,37.07407407407408,39.97952218430034,67.8210655120482,68.19055374592834,38.07368421052632,67.7640712945591,71.77488172810854,2.302585092994046,17.134444444444444
114.0,40.412814092917046,-3.703052476384028,2,3.0,1,1,150.0,20.0,1,311,24.990907,359.0,9,3,3,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,8,60.703778677462886,59.554729011689695,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,3.4011973816621555,17.134444444444444
2.0,40.43863119836153,-3.713716132786873,2,1.0,1,1,150.0,20.0,1,337,24.990907,1362.0,26,9,9,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,10,56.0,61.98230088495576,67.8210655120482,85.5,61.73068893528184,67.7640712945591,71.77488172810854,3.4657359027997265,27.342222222222222
1.0,40.41187988660166,-3.702480653530989,1,1.0,1,1,150.0,20.0,1,356,19.974145,790.0,27,7,15,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,8,60.703778677462886,59.554729011689695,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,3.555348061489413,22.37777777777778
1.0,40.41508709483592,-3.71099435105229,4,1.0,1,2,300.0,18.0,2,75,47.7056905,390.0,31,8,8,0.3333333333333333,1.0,0.8520040280841519,1,8,77.30385487528345,81.32391304347826,67.8210655120482,68.19055374592834,67.76751269035533,67.7640712945591,71.77488172810854,4.382026634673881,20.401111111111117
114.0,40.41826553823127,-3.705616883018374,2,3.0,1,1,150.0,14.0,1,74,24.990907,359.0,19,8,14,0.3333333333333333,0.15037580105041076,0.8520040280841519,3,8,85.71021992238033,84.62020460358056,67.8210655120482,68.19055374592834,81.97660098522168,67.7640712945591,71.77488172810854,3.218875824868201,17.134444444444444
68.0,39.53987109473469,2.592716238882455,4,1.0,1,2,150.0,45.0,3,339,47.7056905,0.0,39,8,17,0.3333333333333333,1.0,0.8520040280841519,3,38,158.6,87.63076923076923,54.5,151.02205882352942,150.9,177.36333333333334,71.77488172810854,4.23410650459726,17.956666666666667
28.0,40.42641029723731,-3.673277812578589,4,2.0,2,3,180.0,160.0,2,52,65.0321,702.0,44,8,12,0.3333333333333333,1.0,0.8520040280841519,3,35,84.07978723404256,82.58510638297872,67.8210655120482,68.19055374592834,84.47826086956522,67.7640712945591,71.77488172810854,5.062595033026967,17.79111111111111
4.0,40.40868290996392,-3.70015959501185,2,1.0,1,1,150.0,20.0,1,65,24.990907,236.0,18,13,13,0.3333333333333333,0.15037580105041076,0.8520040280841519,2,8,60.703778677462886,59.554729011689695,67.8210655120482,68.19055374592834,67.57546602525557,67.7640712945591,71.77488172810854,3.367295829986474,20.952222222222225
8.0,40.42688019205252,-3.6678271848187554,2,2.0,1,2,100.0,20.0,1,281,24.990907,359.0,28,5,15,0.3333333333333333,1.0,0.8520040280841519,1,35,55.30357142857143,62.67692307692308,67.8210655120482,68.19055374592834,52.051886792452834,67.7640712945591,71.77488172810854,4.442651256490317,17.134444444444444
2.0,40.41723130769837,-3.6782023721619166,2,1.0,1,1,300.0,20.0,1,355,24.990907,195.0,21,6,10,0.3333333333333333,1.0,0.8520040280841519,3,34,72.63636363636364,85.60204081632654,67.8210655120482,68.19055374592834,78.44134078212291,67.7640712945591,71.77488172810854,3.951243718581428,18.183333333333334
