host_total_listings_count,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,city,state,zipcode,market,smart_location,country_code,country,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,cancellation_policy,reviews_per_month,square_meters,days_since_first_review,days_since_last_review,review_activity_duration,amenity_score,summary_content_score,description_content_score,property_type_weighted,room_type_encoded,bed_type_encoded
2.0,jeronimos,jeronimos,retiro,madrid,comunidad de madrid,28014,madrid,"madrid, spain",es,spain,40.40773187928116,-3.6848186973255808,entire homeapt,4,1.0,1,2,real bed,60.0,550.0,1250.0,150.0,25.0,1,0,2,1125,9,32,52,117,12,95.0,9.0,10.0,10.0,10.0,10.0,9.0,moderate,0.5,47.7056905,3545.0,2871.0,674.0,23,12,17,2,95.02906410791267,74.05585819282318
1.0,sol,sol,centro,madrid,comunidad de madrid,28012,madrid,"madrid, spain",es,spain,40.41580224221418,-3.705340377650709,entire homeapt,4,1.0,1,2,real bed,50.0,350.0,1500.0,150.0,15.0,1,0,1,1125,15,39,64,208,20,91.0,9.0,9.0,10.0,10.0,10.0,10.0,flexible,2.43,47.7056905,3078.0,2851.0,227.0,33,10,16,2,95.02906410791267,74.05585819282318
16.0,carabanchel,vista alegre,carabanchel,madrid,comunidad de madrid,28025,madrid,"madrid, spain",es,spain,40.3890481625822,-3.740373925565714,shared room,1,1.5,1,8,real bed,10.0,70.0,300.0,150.0,5.0,1,0,3,30,14,44,74,140,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,moderate,1.21,19.974145,3223.0,2864.0,359.0,51,5,13,2,31.320987654320987,74.05585819282318
114.0,embajadores,embajadores,centro,madrid,comunidad de madrid,28012,madrid,"madrid, spain",es,spain,40.412814092917046,-3.703052476384028,private room,2,3.0,1,1,real bed,30.0,210.0,900.0,150.0,20.0,1,0,10,1125,0,6,36,311,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,strict,1.21,24.990907,3223.0,2864.0,359.0,9,3,3,2,40.90114068441065,74.05585819282318
2.0,gaztambide,gaztambide,chamberi,madrid,28,28015,madrid,"madrid, spain",es,spain,40.43863119836153,-3.713716132786873,private room,2,1.0,1,1,real bed,32.0,224.0,960.0,150.0,20.0,1,10,1,1125,7,34,62,337,97,92.0,9.0,9.0,9.0,10.0,9.0,9.0,strict,2.08,24.990907,4233.0,2871.0,1362.0,26,9,9,2,40.90114068441065,74.05585819282318
1.0,embajadores,embajadores,centro,madrid,comunidad de madrid,28012,madrid,"madrid, spain",es,spain,40.41187988660166,-3.702480653530989,private room,1,1.0,1,1,real bed,35.0,245.0,1050.0,150.0,20.0,1,0,2,60,21,51,81,356,43,97.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,1.4,19.974145,3754.0,2964.0,790.0,27,7,15,2,40.90114068441065,74.05585819282318
1.0,palacio,palacio,centro,madrid,comunidad de madrid,28005,madrid,"madrid, spain",es,spain,40.41508709483592,-3.71099435105229,entire homeapt,4,1.0,1,2,real bed,80.0,560.0,2400.0,300.0,18.0,2,21,1,3,15,45,75,75,24,98.0,10.0,10.0,10.0,10.0,10.0,10.0,flexible,1.61,47.7056905,3278.0,2888.0,390.0,31,8,8,2,95.02906410791267,74.05585819282318
114.0,sol,sol,centro,madrid,comunidad de madrid,28013,madrid,"madrid, spain",es,spain,40.41826553823127,-3.705616883018374,private room,2,3.0,1,1,real bed,25.0,175.0,750.0,150.0,14.0,1,5,10,1125,0,0,18,74,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,strict,1.21,24.990907,3223.0,2864.0,359.0,19,8,14,2,40.90114068441065,74.05585819282318
68.0,san blas,calvia,santsmontjuic,illetes,illes balears,07181,mallorca island,"illetes, spain",es,spain,39.53987109473469,2.592716238882455,entire homeapt,4,1.0,1,2,real bed,69.0,483.0,2070.0,150.0,45.0,3,10,4,36,21,51,81,339,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,strict,0.61,47.7056905,2904.0,2904.0,0.0,39,8,17,2,95.02906410791267,74.05585819282318
28.0,goya,goya,salamanca,madrid,comunidad de madrid,28006,madrid,"madrid, spain",es,spain,40.42641029723731,-3.673277812578589,entire homeapt,4,2.0,2,3,real bed,158.0,1106.0,3500.0,180.0,160.0,2,20,7,180,16,26,52,52,3,100.0,10.0,9.0,9.0,10.0,10.0,9.0,strict,0.12,65.0321,3563.0,2861.0,702.0,44,8,12,2,95.02906410791267,74.05585819282318
